Date,AAPL,AMZN,BAC,CSCO,DIS,GOOG,HD,INTC,JPM,KO,MA,META,MSFT,NVDA,PEP,PFE,PG,TSLA,UNH,V
2020-02-13,78.83914947509766,107.49349975585938,30.634931564331055,40.245216369628906,139.1806182861328,75.37599182128906,213.49453735351562,59.7812385559082,118.7441635131836,50.67742919921875,326.016357421875,212.1401824951172,175.36431884765625,6.74061918258667,125.7464599609375,28.109689712524414,109.74974060058594,53.599998474121094,279.5928039550781,200.1554718017578
2020-02-14,78.85855865478516,106.74349975585938,30.582286834716797,39.94755172729492,137.8372039794922,75.67854309082031,215.84652709960938,59.630531311035156,118.38246154785156,50.966487884521484,330.9769592285156,213.17529296875,176.92987060546875,7.213840961456299,126.19288635253906,27.789997100830078,110.7861099243164,53.33533477783203,276.42877197265625,202.94456481933594
2020-02-18,77.41460418701172,107.78350067138672,30.07331085205078,39.62436294555664,137.4420928955078,75.62529754638672,214.8863525390625,58.62886428833008,116.81504821777344,50.60942077636719,331.2584228515625,216.77833557128906,178.7244110107422,7.382617950439453,124.99955749511719,27.645374298095703,109.6706771850586,57.22666549682617,279.5374755859375,203.82275390625
2020-02-19,78.53578186035156,108.51100158691406,30.46820068359375,39.369224548339844,139.5757293701172,75.97464752197266,214.62205505371094,59.48871994018555,118.40829467773438,50.81345748901367,334.4812927246094,216.46978759765625,179.26040649414062,7.833934307098389,124.93942260742188,27.57686424255371,110.17131042480469,61.16133117675781,282.47027587890625,205.85902404785156
2020-02-20,77.73007202148438,107.65499877929688,30.582286834716797,39.845497131347656,138.65707397460938,75.54966735839844,217.59951782226562,58.0172233581543,118.40829467773438,50.77095031738281,334.37457275390625,213.57342529296875,176.52288818359375,7.684574127197266,124.62179565429688,27.287628173828125,111.17253875732422,59.96066665649414,279.52813720703125,204.06405639648438
2020-02-21,75.97065734863281,104.79850006103516,30.152292251586914,39.37771987915039,137.27415466308594,73.90544891357422,216.11956787109375,57.03327178955078,116.96146392822266,51.11951446533203,329.7635498046875,209.19406127929688,170.94253540039062,7.320385456085205,125.21414947509766,27.188676834106445,111.27793884277344,60.06666564941406,278.880615234375,201.5162353515625
2020-02-24,72.3620376586914,100.4645004272461,28.721899032592773,37.421592712402344,131.3868865966797,70.74441528320312,211.15133666992188,54.746280670166016,113.81802368164062,49.861289978027344,315.1731262207031,199.7784423828125,163.572265625,6.802852630615234,122.45834350585938,26.389453887939453,108.29179382324219,55.58599853515625,257.0090637207031,191.8462371826172
2020-02-25,69.91094970703125,98.63700103759766,27.27396011352539,36.349979400634766,126.62571716308594,69.0952377319336,209.107666015625,52.946807861328125,108.73686218261719,49.15567398071289,294.0302429199219,195.84698486328125,160.87303161621094,6.523300647735596,121.1362075805664,25.82619857788086,106.6494140625,53.32733154296875,243.68624877929688,181.8191680908203
2020-02-26,71.02001953125,98.97949981689453,26.879066467285156,35.85669708251953,121.85465240478516,69.33061218261719,207.2577667236328,52.87590408325195,109.0641098022461,48.96863555908203,289.3221435546875,196.27496337890625,162.88308715820312,6.6627020835876465,121.89170837402344,26.42751693725586,105.53401947021484,51.91999816894531,243.32542419433594,180.67074584960938
2020-02-27,66.37757110595703,94.21499633789062,25.5627498626709,34.053653717041016,116.59957122802734,65.59381866455078,197.96426391601562,49.48971939086914,104.52552795410156,46.6987419128418,277.4595642089844,188.85989379882812,151.406494140625,6.291819095611572,117.07547760009766,25.955596923828125,99.68465423583984,45.266666412353516,234.92465209960938,173.7222137451172
2020-02-28,66.3387451171875,94.1875,25.00990104675293,33.96010208129883,116.2143325805664,66.65081024169922,191.89492797851562,49.21491622924805,99.99553680419922,45.47452163696289,281.75994873046875,191.56712341308594,155.072509765625,6.726966857910156,113.3495101928711,25.438007354736328,99.44752502441406,44.53266525268555,235.8868408203125,175.4110870361328
2020-03-02,72.5149154663086,97.69750213623047,25.77336311340332,35.01470184326172,118.5158920288086,69.12808227539062,202.55380249023438,51.57284164428711,104.65470123291016,47.54038619995117,297.76751708984375,195.51852416992188,165.3909149169922,6.885382175445557,118.1142349243164,26.549304962158203,105.00701904296875,49.574668884277344,252.6790771484375,185.6118927001953
2020-03-03,70.2119140625,95.44950103759766,24.351747512817383,34.053653717041016,115.02896881103516,66.75332641601562,200.79190063476562,49.61381912231445,100.72757720947266,47.6594123840332,283.458740234375,185.0180206298828,157.46546936035156,6.622849464416504,116.39724731445312,26.107830047607422,103.7862319946289,49.70066833496094,241.84510803222656,179.242431640625
2020-03-04,73.46863555908203,98.79149627685547,24.913375854492188,35.201812744140625,117.72565460205078,68.99918365478516,212.36695861816406,52.01605987548828,103.21646881103516,50.09082794189453,293.5156555175781,190.8604736328125,163.246826171875,7.086639881134033,122.24371337890625,27.706266403198242,109.3457260131836,49.96666717529297,267.76898193359375,187.50341796875
2020-03-05,71.08555603027344,96.20149993896484,23.650482177734375,33.65392303466797,112.58911895751953,65.6410903930664,206.84373474121094,50.49137878417969,98.15254974365234,48.23750686645508,282.2259521484375,184.30140686035156,159.15011596679688,6.807171821594238,119.36125183105469,26.99077606201172,106.82506561279297,48.30266571044922,261.79229736328125,180.4294891357422
2020-03-06,70.14152526855469,95.05449676513672,22.705522537231445,33.747474670410156,113.86336517333984,64.61445617675781,201.2940673828125,49.4365234375,93.0799789428711,46.97929000854492,278.6147155761719,180.2405242919922,154.65138244628906,6.626585960388184,118.63519287109375,26.655864715576172,106.8514404296875,46.89866638183594,262.6341857910156,177.92030334472656
2020-03-09,64.59386444091797,90.03050231933594,19.36725616455078,32.284637451171875,103.07662200927734,60.491485595703125,185.3938751220703,45.07526397705078,80.47180938720703,44.08877182006836,254.3460235595703,168.70489501953125,144.1702423095703,6.1134772300720215,112.49861907958984,25.696802139282227,101.93305206298828,40.53333282470703,252.9844207763672,165.15240478515625
2020-03-10,69.24602508544922,94.59100341796875,20.850929260253906,34.087677001953125,110.09986114501953,63.71770095825195,198.8187255859375,47.84980392456055,86.72423553466797,45.619041442871094,272.363037109375,177.35414123535156,154.02920532226562,6.503040790557861,115.93858337402344,26.32856559753418,105.87651824951172,43.02199935913086,259.05364990234375,176.22177124023438
2020-03-11,66.84109497070312,91.04299926757812,20.02077865600586,31.51068687438965,104.22247314453125,60.48401641845703,188.7891082763672,45.79327392578125,82.64207458496094,44.38633728027344,261.8692932128906,169.44143676757812,147.0513916015625,6.13913106918335,112.14424133300781,24.486553192138672,98.00714111328125,42.28200149536133,256.999755859375,166.90884399414062
2020-03-12,60.24020767211914,83.83049774169922,18.113195419311523,28.236291885375977,90.68965148925781,55.482704162597656,169.01368713378906,40.368289947509766,75.82988739013672,40.09306335449219,234.43592834472656,153.7454071044922,133.105224609375,5.387899398803711,99.68953704833984,22.850059509277344,89.44391632080078,37.369998931884766,231.67726135253906,154.4884033203125
